cid,g,a,d,i,cl
D,F,6,13,55,0
D,F,6,14,75,2
D,F,6,15,52,0
D,F,6,16,46,0
D,F,6,17,82,0
D,F,6,18,87,0
D,F,6,19,87,0
D,F,6,20,113,0
D,F,6,21,50,0
D,F,6,22,87,0
D,F,6,23,49,0
D,F,6,24,57,0
D,F,6,25,58,0
D,F,6,26,88,0
D,F,6,27,57,1
D,F,6,28,34,0
D,F,6,29,28,0
D,F,U,1,19,0
D,F,U,2,3,0
D,F,U,4,56,0
D,F,U,5,65,1
D,F,U,6,71,0
D,F,U,7,55,0
D,F,U,8,18,0
D,F,U,9,69,0
D,F,U,10,87,1
D,F,U,11,105,0
D,F,U,12,94,1
D,F,U,13,118,0
D,F,U,14,127,2
D,F,U,15,115,0
D,F,U,16,94,0
D,F,U,17,153,1
D,F,U,18,163,0
D,F,U,19,214,0
D,F,U,20,234,0
D,F,U,21,93,0
D,F,U,22,167,0
D,F,U,23,94,1
D,F,U,24,131,1
D,F,U,25,144,0
D,F,U,26,147,2
D,F,U,27,102,0
D,F,U,28,65,0
D,F,U,29,84,0
D,M,1,2,1,0
D,M,1,4,5,0
D,M,1,5,4,0
D,M,1,6,9,0
D,M,1,7,10,0
D,M,1,8,2,0
D,M,1,9,7,0
D,M,1,10,9,0
D,M,1,11,11,0
D,M,1,12,6,0
D,M,1,13,7,0
D,M,1,14,22,0
D,M,1,15,12,0
D,M,1,16,13,0
D,M,1,17,18,0
D,M,1,18,26,0
D,M,1,19,24,0
D,M,1,20,27,0
D,M,1,21,3,0
D,M,1,22,13,0
D,M,1,23,4,0
D,M,1,24,10,0
D,M,1,25,13,1
D,M,1,26,17,0
D,M,1,27,6,0
D,M,1,28,12,0
D,M,1,29,9,0
D,M,2,1,2,0
D,M,2,2,1,0
D,M,2,4,5,0
D,M,2,5,6,0
D,M,2,6,4,0
D,M,2,7,5,0
D,M,2,8,2,0
D,M,2,9,8,0
D,M,2,10,13,1
D,M,2,11,7,0
D,M,2,12,12,0
D,M,2,13,11,0
D,M,2,14,15,0
D,M,2,15,7,0
D,M,2,16,12,0
D,M,2,17,15,0
D,M,2,18,20,0
D,M,2,19,19,0
D,M,2,20,14,0
D,M,2,21,10,0
